2016-11-25 16:27:33,768 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:27:33,780 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:27:33,781 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:27:33,781 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:27:33,781 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:27:33,782 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:27:33,782 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Helper\Redirector.cs; Line Number: 54 ;Message: Thread was being aborted.
2016-11-25 16:27:33,782 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 79 ;Message: Thread was being aborted.
2016-11-25 16:27:33,783 [31] ERROR /Province/BaoCao_QuanLy.aspx?pid=8716 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 86 ;Message: Thread was being aborted.
2016-11-25 16:28:25,524 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:28:25,524 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:28:25,525 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:28:25,525 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:28:25,525 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:28:25,525 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 16:28:25,526 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: D:\Projects\YKCD\Framework\Helper\Redirector.cs; Line Number: 54 ;Message: Thread was being aborted.
2016-11-25 16:28:25,526 [29] ERROR /Province/BaoCao_QuanLy.aspx?pid=10265 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\BaoCao_QuanLy.aspx.cs; Line Number: 79 ;Message: Thread was being aborted.
